area,city,direction,feedbackScore,house_type,jobTitle,month_rent,name,name_value,rental_type,street
93.00㎡,包河,南,5.0,3室2厅1卫,助理经纪人,1850,和昌中央城邦,吴宇帆,整租·和昌中央城邦 3室2厅 南,骆岗
71.05㎡,蜀山,东南,4.6,2室1厅1卫,高级经纪人,2400,大溪地御倾城,王群,整租·大溪地御倾城 2室1厅 东南,西园
110.00㎡,肥西,西南 西,3.0,4室2厅1卫,高级经纪人,2600,文一名门绿洲,朱富豪,整租·文一名门绿洲 4室2厅 西南/西,繁华新园
44.80㎡,包河,南,4.8,1室1厅1卫,高级经纪人,1200,南翔汽车智慧新城,吴婷婷,整租·南翔汽车智慧新城 1室1厅 南,骆岗
30.00㎡,蜀山,南,,5室1厅2卫,,850,红皖家园,,合租·红皖家园 5居室 跃层 南卧,蜀山经济开发区
18.00㎡,高新,南,,5室0厅1卫,,618,永和家园,,合租·永和家园 5居室 南卧,长宁
19.00㎡,蜀山,南,,5室1厅2卫,,903,华邦光明世家,,合租·华邦光明世家 5居室 南卧,南七
23.00㎡,包河,北,,5室1厅2卫,,660,珠光雅苑,,合租·珠光雅苑 5居室 北卧,包公
61.13㎡,蜀山,南,3.7,1室1厅1卫,高级经纪人,2100,安粮城市广场QQ公寓,沈艳,整租·安粮城市广场QQ公寓 1室1厅 南,稻香村
26.00㎡,蜀山,南,,4室1厅2卫,,998,安粮城市广场,,合租·安粮城市广场 4居室 南卧,稻香村
122.00㎡,长丰,南,4.8,3室2厅2卫,经纪人,800,恒大帝景,韩玉玲,整租·恒大帝景 3室2厅 南,北城
20.00㎡,蜀山,南,,4室1厅1卫,,890,蜀科苑,,合租·蜀科苑 4居室 南卧,井岗镇
88.97㎡,肥东,南,5.0,3室2厅1卫,经纪人,1800,金辉优步大道,张金超,整租·金辉优步大道 3室2厅 南,大兴镇
99.00㎡,新站,南,5.0,3室2厅2卫,助理经纪人,1400,金辉锦绣云庭,王紫妍,整租·金辉锦绣云庭 3室2厅 南,磨店
75.00㎡,肥西,南,5.0,2室1厅1卫,经纪人,1600,紫蓬家园,杨涛,整租·紫蓬家园 2室1厅 南,肥西
126.00㎡,肥西,南,5.0,4室2厅1卫,经纪人,3200,禹洲华侨城三期枫园,吴国玉,整租·禹洲华侨城三期枫园 4室2厅 南,染坊
10.00㎡,包河,南,,4室1厅1卫,,750,宝利丰广场,,合租·宝利丰广场 4居室 南卧,包公
86.70㎡,高新,南,5.0,3室2厅1卫,经纪人,2500,航空新城,钮子浩,整租·航空新城 3室2厅 南,南岗镇
23.00㎡,包河,北,,5室1厅1卫,,590,世纪阳光花园红阳苑,,合租·世纪阳光花园红阳苑 5居室 北卧,包公
89.00㎡,长丰,南,5.0,2室1厅1卫,经纪人,1000,御景嘉苑,王芳,整租·御景嘉苑 2室1厅 南,北城
89.00㎡,经开,南,4.0,2室2厅1卫,高级经纪人,2300,东海星城,靳红云,整租·东海星城 2室2厅 南,莲花
20.00㎡,包河,南,,4室1厅1卫,,820,青年小区,,合租·青年小区 4居室 南卧,包公
22.00㎡,蜀山,4室1厅1卫,,暂无数据,,790,蜀景园,,合租·蜀景园 4居室,蜀山经济开发区
97.94㎡,肥东,南,5.0,3室2厅1卫,高级经纪人,1300,华盛南院,杨学峰,整租·华盛南院 3室2厅 南,肥东
13.00㎡,肥西,南,,4室1厅1卫,,820,巴厘·阳光,,合租·巴厘·阳光 4居室 南卧,桃花工业园
88.00㎡,蜀山,南,5.0,2室1厅1卫,高级经纪人,2500,西城山水居,刘乐,整租·西城山水居 2室1厅 南,蜀山经济开发区
20.00㎡,包河,南,,4室1厅1卫,,700,汇景花园,,合租·汇景花园 4居室 南卧,芜湖路
57.00㎡,蜀山,南,4.5,2室1厅1卫,高级经纪人,1600,省外贸绩溪新村,潘红,整租·省外贸绩溪新村 2室1厅 南,三里庵
12.00㎡,蜀山,南,,4室1厅1卫,,590,淝滨小区,,合租·淝滨小区 4居室 南卧,五里墩
103.00㎡,新站,南 北,5.0,3室2厅2卫,助理经纪人,1400,新力弘阳湖语时光,王紫妍,整租·新力弘阳湖语时光 3室2厅 南/北,磨店
area,city,direction,feedbackScore,house_type,jobTitle,month_rent,name,name_value,rental_type,street
19.00㎡,蜀山,南,,5室1厅2卫,,903,华邦光明世家,,合租·华邦光明世家 5居室 南卧,南七
15.77㎡,蜀山,南,,5室1厅1卫,,713,加侨悦山国际西区,,合租·加侨悦山国际西区 5居室 南卧,蜀山经济开发区
44.80㎡,包河,南,4.8,1室1厅1卫,高级经纪人,1200,南翔汽车智慧新城,吴婷婷,整租·南翔汽车智慧新城 1室1厅 南,骆岗
71.05㎡,蜀山,东南,5.0,2室1厅1卫,高级经纪人,2400,大溪地御倾城,高闯,整租·大溪地御倾城 2室1厅 东南,西园
17.96㎡,蜀山,北,,5室1厅2卫,,713,蜀景园,,合租·蜀景园 5居室 北卧,蜀山经济开发区
110.00㎡,肥西,西南 西,3.0,4室2厅1卫,高级经纪人,2600,文一名门绿洲,朱富豪,整租·文一名门绿洲 4室2厅 西南/西,繁华新园
122.00㎡,长丰,南,4.8,3室2厅2卫,经纪人,800,恒大帝景,韩玉玲,整租·恒大帝景 3室2厅 南,北城
93.00㎡,包河,南,5.0,3室2厅1卫,助理经纪人,1850,和昌中央城邦,吴宇帆,整租·和昌中央城邦 3室2厅 南,骆岗
88.97㎡,肥东,南,5.0,3室2厅1卫,经纪人,1800,金辉优步大道,张金超,整租·金辉优步大道 3室2厅 南,大兴镇
20.00㎡,包河,南,,4室1厅1卫,,700,汇景花园,,合租·汇景花园 4居室 南卧,芜湖路
126.00㎡,肥西,南,4.9,4室2厅1卫,高级经纪人,3200,禹洲华侨城三期枫园,马成金,整租·禹洲华侨城三期枫园 4室2厅 南,染坊
89.00㎡,长丰,南,4.8,2室1厅1卫,高级经纪人,1000,御景嘉苑,余梅龄,整租·御景嘉苑 2室1厅 南,北城
99.00㎡,新站,南,5.0,3室2厅2卫,高级经纪人,1400,金辉锦绣云庭,张丽娜,整租·金辉锦绣云庭 3室2厅 南,磨店
23.00㎡,包河,北,,5室1厅1卫,,590,世纪阳光花园红阳苑,,合租·世纪阳光花园红阳苑 5居室 北卧,包公
86.70㎡,高新,南,5.0,3室2厅1卫,经纪人,2500,航空新城,钮子浩,整租·航空新城 3室2厅 南,南岗镇
12.00㎡,蜀山,南,,4室1厅1卫,,590,淝滨小区,,合租·淝滨小区 4居室 南卧,五里墩
99.50㎡,滨湖新区,南 北,4.6,3室2厅1卫,高级经纪人,3500,银河幸福广场,王然,整租·银河幸福广场 3室2厅 南/北,方兴
23.00㎡,包河,北,,5室1厅2卫,,660,珠光雅苑,,合租·珠光雅苑 5居室 北卧,包公
20.00㎡,蜀山,南,,4室1厅1卫,,890,蜀科苑,,合租·蜀科苑 4居室 南卧,井岗镇
20.00㎡,包河,南,,4室1厅1卫,,820,青年小区,,合租·青年小区 4居室 南卧,包公
79.66㎡,庐阳,南,4.7,2室2厅1卫,经纪人,2600,融侨观邸,甄敬,整租·融侨观邸 2室2厅 南,双岗
89.00㎡,经开,南,4.0,2室2厅1卫,高级经纪人,2300,东海星城,靳红云,整租·东海星城 2室2厅 南,莲花
97.94㎡,肥东,南,5.0,3室2厅1卫,经纪人,1300,华盛南院,王胜,整租·华盛南院 3室2厅 南,肥东
30.00㎡,蜀山,南,,5室1厅2卫,,850,红皖家园,,合租·红皖家园 5居室 跃层 南卧,蜀山经济开发区
88.00㎡,蜀山,南,5.0,2室1厅1卫,高级经纪人,2500,西城山水居,张杭生,整租·西城山水居 2室1厅 南,蜀山经济开发区
57.00㎡,蜀山,南,5.0,2室1厅1卫,助理经纪人,1600,省外贸绩溪新村,方锐,整租·省外贸绩溪新村 2室1厅 南,三里庵
103.00㎡,新站,南 北,5.0,3室2厅2卫,助理经纪人,1400,新力弘阳湖语时光,王紫妍,整租·新力弘阳湖语时光 3室2厅 南/北,磨店
18.00㎡,高新,南,,5室0厅1卫,,618,永和家园,,合租·永和家园 5居室 南卧,长宁
26.00㎡,蜀山,南,,4室1厅2卫,,998,安粮城市广场,,合租·安粮城市广场 4居室 南卧,稻香村
22.00㎡,经开,东,,4室1厅1卫,,741,上海城市,,合租·上海城市 4居室 东卧,莲花
22.00㎡,蜀山,4室1厅1卫,,暂无数据,,790,蜀景园,,合租·蜀景园 4居室,蜀山经济开发区
96.70㎡,肥东,南,5.0,3室2厅1卫,助理经纪人,1600,尚泽樾园西区,俞勇,整租·尚泽樾园西区 3室2厅 南,大兴镇
40.00㎡,,1间在租,,1室1厅1卫,,1500,,,独栋·金地公寓 金地店 0中介费 近朱岗地铁口 百大购物中心  赢海国际  拎包入住 押一付一 可月租623 1室1厅,
85.40㎡,高新,东南,4.9,2室2厅1卫,高级经纪人,3200,绿城桂花园,汪根生,整租·绿城桂花园 2室2厅 东南,天乐
91.45㎡,肥东,西,5.0,3室2厅1卫,助理经纪人,1400,荣盛书香府邸西区·公园里,俞勇,整租·荣盛书香府邸西区·公园里 3室2厅 西,大兴镇
20.00㎡,蜀山,南,,5室1厅1卫,,618,惠民新村,,合租·惠民新村 5居室 南卧,南岗镇
89.00㎡,肥东,南,5.0,3室1厅1卫,经纪人,1250,琥珀名郡香榭里,王胜,整租·琥珀名郡香榭里 3室1厅 南,肥东
13.00㎡,肥西,南,,4室1厅1卫,,820,巴厘·阳光,,合租·巴厘·阳光 4居室 南卧,桃花工业园
13.00㎡,肥西,南,,4室1厅1卫,,850,巴厘·阳光,,合租·巴厘·阳光 4居室 南卧,桃花工业园
58.00㎡,肥西,南,4.7,2室2厅1卫,高级经纪人,1600,金宇天地城,宋洁,整租·金宇天地城 2室2厅 复式 南,新港
88.00㎡,肥东,南,5.0,3室2厅1卫,经纪人,1000,琥珀名郡香颂里,王胜,整租·琥珀名郡香颂里 3室2厅 南,肥东
93.00㎡,肥东,南,5.0,3室1厅1卫,经纪人,1350,龙湖文德春江天越,王胜,整租·龙湖文德春江天越 3室1厅 南,肥东
86.76㎡,瑶海,南,4.8,2室1厅1卫,经纪人,3000,坝上街环球中心,张二磊,整租·坝上街环球中心 2室1厅 南,明光路
20.00㎡,蜀山,南,,3室1厅1卫,,850,国风东风小区,,合租·国风东风小区 3居室 南卧,五里墩
35.00㎡,瑶海,南,1.0,1室1厅1卫,经纪人,1400,南都雲庭,胡培,整租·南都雲庭 1室1厅 南,明光路
154.65㎡,滨湖新区,南,5.0,4室2厅2卫,助理经纪人,7500,信达公园里一期,孙强,整租·信达公园里一期 4室2厅 南,烟墩
135.00㎡,经开,东,5.0,4室2厅2卫,经纪人,3500,安大磬苑,郭梦雷,整租·安大磬苑 4室2厅 东,芙蓉
36.67㎡,蜀山,南,,4室1厅1卫,,950,怡园新村,,合租·怡园新村 4居室 南卧,琥珀
120.00㎡,肥东,南,5.0,4室2厅2卫,经纪人,1600,荣盛书香府邸西区·公园里,张金超,整租·荣盛书香府邸西区·公园里 4室2厅 南,大兴镇
20.00㎡,长丰,南,5.0,1室0厅0卫,经纪人,550,银河苑,叶子圆,合租·银河苑 1居室 南卧,北城
21.00㎡,蜀山,北,,5室1厅1卫,,730,领势公馆,,合租·领势公馆 5居室 北卧,西园
12.00㎡,包河,北,,4室1厅1卫,,650,江南新里程,,合租·江南新里程 4居室 北卧,芜湖路
25.10㎡,蜀山,南,,3室1厅1卫,,850,安徽省电力公司黄山路生活区,,合租·安徽省电力公司黄山路生活区 3居室 南卧,三里庵
97.43㎡,肥西,南,5.0,3室2厅2卫,经纪人,1000,西溪湾,黄世冈,整租·西溪湾 3室2厅 南,肥西
91.00㎡,肥东,南 北,4.8,3室2厅1卫,经纪人,1100,琥珀名郡香颂里,黄安娜,整租·琥珀名郡香颂里 3室2厅 南/北,肥东
98.06㎡,新站,南,5.0,3室2厅1卫,经纪人,800,隆昊昊天园,张先泽,整租·隆昊昊天园 3室2厅 南,七里塘
25.00㎡,包河,北,,3室1厅1卫,,530,包河苑,,合租·包河苑 3居室 北卧,骆岗
114.00㎡,肥西,南,3.0,3室2厅1卫,高级经纪人,1100,祥源花世界汀兰湾,郭延明,整租·祥源花世界汀兰湾 3室2厅 南,肥西
25.00㎡,蜀山,南,,4室1厅1卫,,820,合肥市黄山路389号,,合租·合肥市黄山路389号 4居室 南卧,稻香村
95.00㎡,肥东,南,4.9,3室2厅1卫,经纪人,1000,琥珀名郡香颂里,阚家茹,整租·琥珀名郡香颂里 3室2厅 南,肥东
102.65㎡,肥西,南,4.0,3室2厅1卫,高级经纪人,2900,水安盛世桃源,靳红云,整租·水安盛世桃源 3室2厅 南,桃花工业园
101.19㎡,肥西,南,5.0,3室2厅1卫,经纪人,1400,西溪湾,何雅娴,整租·西溪湾 3室2厅 南,肥西
25.00㎡,蜀山,北,,4室1厅1卫,,770,栗树家苑,,合租·栗树家苑 4居室 北卧,南七
49.82㎡,滨湖新区,南,5.0,2室1厅1卫,经纪人,1650,文一春风里,杨硕,整租·文一春风里 2室1厅 南,烟墩
12.00㎡,包河,南,,5室1厅2卫,,650,万振逍遥苑一期,,合租·万振逍遥苑一期 5居室 南卧,周谷堆
130.00㎡,长丰,南 北,4.7,4室2厅1卫,经纪人,2800,万科苏高新中央公园轩庭,刘银利,整租·万科苏高新中央公园轩庭 4室2厅 南/北,北城
68.00㎡,蜀山,西北,4.7,2室1厅1卫,经纪人,2100,中国铁建青秀城,曾迪,整租·中国铁建青秀城 2室1厅 西北,五里墩
113.00㎡,长丰,东,4.8,3室2厅1卫,经纪人,1100,悦湖国际,崔杰,整租·悦湖国际 3室2厅 东,长丰
20.00㎡,包河,北,,4室1厅1卫,,750,珠光花园,,合租·珠光花园 4居室 北卧,周谷堆
20.00㎡,庐阳,南,,4室1厅3卫,,600,风荷苑,,合租·风荷苑 4居室 南卧,杏林
15.00㎡,政务,北,,5室1厅5卫,,1180,国际花都玫瑰苑,,合租·国际花都玫瑰苑 5居室 北卧,荷叶地
106.00㎡,肥东,南,1.0,3室2厅2卫,经纪人,1300,尚泽樾园东区,胡培,整租·尚泽樾园东区 3室2厅 南,大兴镇
141.00㎡,肥西,南,5.0,4室2厅2卫,经纪人,1300,泰来傲城,王广伦,整租·泰来傲城 4室2厅 南,肥西
10.00㎡,蜀山,北,,5室1厅2卫,,650,龙凤嘉园一期,,合租·龙凤嘉园一期 5居室 北卧,井岗镇
100.00㎡,经开,南,5.0,2室1厅1卫,经纪人,1300,卧云新村,邓业慧,整租·卧云新村 2室1厅 南,临湖
55.54㎡,庐阳,南,4.6,2室1厅1卫,高级经纪人,1950,吴山巷,夏常坚,整租·吴山巷 2室1厅 南,逍遥津
80.00㎡,蜀山,南,4.0,3室1厅1卫,经纪人,2100,交行恢复楼,周帅,整租·交行恢复楼 3室1厅 南,五里墩
82.65㎡,新站,南,5.0,2室1厅1卫,经纪人,1200,青年创业大厦,谢梦云,整租·青年创业大厦 2室1厅 南,七里塘
112.00㎡,肥西,南,5.0,3室2厅1卫,经纪人,900,华地翡翠公园,何雅娴,整租·华地翡翠公园 3室2厅 南,肥西
96.84㎡,长丰,南 北,4.8,3室2厅1卫,高级经纪人,900,冠徽苑,余梅龄,整租·冠徽苑 3室2厅 南/北,北城
93.09㎡,肥西,南 北,5.0,3室2厅1卫,助理经纪人,800,华地翡翠公园,宋功名,整租·华地翡翠公园 3室2厅 南/北,肥西
87.00㎡,长丰,南,5.0,2室1厅1卫,经纪人,1300,中南宸悦,邵尹,整租·中南宸悦 2室1厅 南,北城
50.00㎡,蜀山,南,4.8,1室1厅1卫,高级经纪人,2000,立基公馆,吴娟,整租·立基公馆 1室1厅 南,稻香村
119.00㎡,瑶海,南,4.7,3室2厅1卫,租赁店经理,2700,吟春园,阮红燕,整租·吟春园 3室2厅 南,三里街
103.00㎡,肥东,南,5.0,3室1厅1卫,经纪人,1000,琥珀名郡香颂里,王胜,整租·琥珀名郡香颂里 3室1厅 南,肥东
126.71㎡,经开,南,5.0,4室1厅2卫,经纪人,1050,一里洋房,郭梦雷,整租·一里洋房 4室1厅 南,芙蓉
85.00㎡,长丰,南,5.0,2室2厅1卫,经纪人,900,恒大帝景,王芳,整租·恒大帝景 2室2厅 南,北城
97.00㎡,肥西,南,5.0,3室2厅1卫,经纪人,800,华地紫金府,陈玉清,整租·华地紫金府 3室2厅 南,肥西
90.00㎡,庐阳,南,4.9,3室2厅1卫,经纪人,1200,美丽景湾,王君,整租·美丽景湾 3室2厅 南,林店
149.00㎡,肥西,西南,5.0,3室1厅1卫,经纪人,1400,南郢社区,朱贺,整租·南郢社区 3室1厅 西南,新港
100.00㎡,长丰,东,4.9,3室1厅2卫,经纪人,600,水岸人家三期,王敏,整租·水岸人家三期 3室1厅 东,北城
60.00㎡,肥西,南 北,5.0,2室1厅1卫,经纪人,700,群英阁,张桂平,整租·群英阁 2室1厅 南/北,肥西
120.00㎡,长丰,南,4.9,4室1厅2卫,经纪人,1500,恒泰阿奎利亚悦璟府,张雪梅,整租·恒泰阿奎利亚悦璟府 4室1厅 南,北城
24.00㎡,肥西,南,4.9,1室0厅0卫,高级经纪人,600,新型家园一期,李会,合租·新型家园一期 1居室 南卧,肥西
60.00㎡,肥西,东南,5.0,1室1厅1卫,高级经纪人,1200,观澜学府,储娟,整租·观澜学府 1室1厅 东南,新港
102.00㎡,肥西,南,5.0,2室2厅1卫,经纪人,900,文一名门森林语,孙晓燕,整租·文一名门森林语 2室2厅 南,肥西
120.00㎡,空港经济示范区,南,4.9,3室2厅1卫,高级经纪人,2400,绿洲西苑,杜克玲,整租·绿洲西苑 3室2厅 南,长宁
52.00㎡,高新,北,5.0,1室1厅1卫,高级经纪人,1200,信铃国际天启,张秀兰,整租·信铃国际天启 1室1厅 北,天乐
107.00㎡,长丰,南,4.8,2室1厅1卫,高级经纪人,750,高迪岛,余梅龄,整租·高迪岛 2室1厅 南,北城
15.00㎡,肥西,北,4.7,2室2厅0卫,高级经纪人,500,香樟花园,冯晨伟,合租·香樟花园 2居室 北卧,染坊
78.00㎡,肥西,南,5.0,2室2厅1卫,助理经纪人,1500,旺郢家园,丁玉凤,整租·旺郢家园 2室2厅 南,肥西
90.45㎡,高新,南,5.0,3室2厅1卫,经纪人,1700,城西桥家园B组团,杨欣旺,整租·城西桥家园B组团 3室2厅 南,长宁
96.00㎡,肥西,南,4.7,2室2厅1卫,高级经纪人,650,翡翠运河家园,施晓宁,整租·翡翠运河家园 2室2厅 南,肥西
20.00㎡,蜀山,南,,4室1厅1卫,,790,大富山庄,,合租·大富山庄 4居室 南卧,蜀山经济开发区
42.70㎡,瑶海,西南,5.0,1室1厅1卫,经纪人,1350,铭座大厦,桑孟楠,整租·铭座大厦 1室1厅 西南,三里街
45.00㎡,蜀山,南,5.0,1室1厅1卫,高级经纪人,1800,中国铁建青秀城,陈家庆,整租·中国铁建青秀城 1室1厅 南,五里墩
129.00㎡,长丰,南,4.4,3室2厅2卫,经纪人,1600,国徽苑,何倩,整租·国徽苑 3室2厅 南,北城
